Estimated marginal difference in the mean number of rehospitalisations
after colon cancer surgery comparing patients treated with and without
chemo.

Estimates for males
    female chemo     t.stop        fit        lci        uci
1        0     0    0.00000         NA         NA         NA
2        0     0   15.15152 0.04312389 0.01735913 0.06888866
3        0     0   30.30303 0.10028530 0.05038587 0.15018474
4        0     0   45.45455 0.15839971 0.08468561 0.23211381
5        0     0   60.60606 0.21489866 0.11800877 0.31178856
6        0     0   75.75758 0.26897863 0.14993175 0.38802551
7        0     0   90.90909 0.32039901 0.18041751 0.46038051
8        0     0  106.06061 0.36913935 0.20951598 0.52876272
9        0     0  121.21212 0.41527000 0.23728965 0.59325036
10       0     0  136.36364 0.45889931 0.26379587 0.65400275
11       0     0  151.51515 0.50015175 0.28908507 0.71121844
12       0     0  166.66667 0.53915618 0.31320156 0.76511080
13       0     0  181.81818 0.57604052 0.33618534 0.81589570
14       0     0  196.96970 0.61094110 0.35808069 0.86380151
15       0     0  212.12121 0.64405072 0.37896897 0.90913248
16       0     0  227.27273 0.67556018 0.39893945 0.95218092
17       0     0  242.42424 0.70563495 0.41807497 0.99319492
18       0     0  257.57576 0.73441858 0.43645210 1.03238506
19       0     0  272.72727 0.76203642 0.45414153 1.06993130
20       0     0  287.87879 0.78859827 0.47120833 1.10598821
21       0     0  303.03030 0.81420051 0.48771192 1.14068909
22       0     0  318.18182 0.83892832 0.50370663 1.17415001
23       0     0  333.33333 0.86285706 0.51924178 1.20647234
24       0     0  348.48485 0.88605308 0.53436166 1.23774449
25       0     0  363.63636 0.90857552 0.54910628 1.26804476
26       0     0  378.78788 0.93047828 0.56351250 1.29744405
27       0     0  393.93939 0.95180893 0.57761296 1.32600490
28       0     0  409.09091 0.97261078 0.59143741 1.35378416
29       0     0  424.24242 0.99292227 0.60501206 1.38083248
30       0     0  439.39394 1.01277932 0.61836144 1.40719721
31       0     0  454.54545 1.03221269 0.63150599 1.43291940
32       0     0  469.69697 1.05125212 0.64446554 1.45803869
33       0     0  484.84848 1.06992406 0.65725735 1.48259077
34       0     0  500.00000 1.08825179 0.66989606 1.50660753
35       0     0  515.15152 1.10625809 0.68239604 1.53012013
36       0     0  530.30303 1.12396347 0.69476985 1.55315710
37       0     0  545.45455 1.14138534 0.70702738 1.57574330
38       0     0  560.60606 1.15854131 0.71917886 1.59790375
39       0     0  575.75758 1.17544595 0.73123127 1.61966062
40       0     0  590.90909 1.19210871 0.74318543 1.64103200
41       0     0  606.06061 1.20853687 0.75504013 1.66203361
42       0     0  621.21212 1.22473769 0.76679457 1.68268081
43       0     0  636.36364 1.24071896 0.77844885 1.70298908
44       0     0  651.51515 1.25648825 0.79000309 1.72297341
45       0     0  666.66667 1.27205162 0.80145659 1.74264664
46       0     0  681.81818 1.28741510 0.81280882 1.76202137
47       0     0  696.96970 1.30258345 0.82405854 1.78110836
48       0     0  712.12121 1.31756363 0.83520671 1.79992054
49       0     0  727.27273 1.33236044 0.84625285 1.81846803
50       0     0  742.42424 1.34697963 0.85719736 1.83676190
51       0     0  757.57576 1.36142660 0.86804090 1.85481231
52       0     0  772.72727 1.37570477 0.87878236 1.87262718
53       0     0  787.87879 1.38981912 0.88942241 1.89021582
54       0     0  803.03030 1.40377277 0.89996034 1.90758521
55       0     0  818.18182 1.41756998 0.91039648 1.92474349
56       0     0  833.33333 1.43121606 0.92073258 1.94169955
57       0     0  848.48485 1.44471355 0.93096797 1.95845913
58       0     0  863.63636 1.45806622 0.94110320 1.97502924
59       0     0  878.78788 1.47127905 0.95114025 1.99141784
60       0     0  893.93939 1.48435441 0.96107889 2.00762994
61       0     0  909.09091 1.49729456 0.97091881 2.02367031
62       0     0  924.24242 1.51010331 0.98066132 2.03954530
63       0     0  939.39394 1.52278332 0.99030697 2.05525967
64       0     0  954.54545 1.53533635 0.99985546 2.07081724
65       0     0  969.69697 1.54776487 1.00930726 2.08622248
